"일련번호","아파트","도로명주소","월","일","전용면적","층","거래금액"
"11680-3752","대치아이파크","서울특별시 강남구 선릉로 222",1,2,114.97,10,"300000"
"11680-566","아카데미스위트","서울특별시 강남구 언주로30길 21",1,2,164.87,7,"200000"
"11680-340","우성캐릭터","서울특별시 강남구 언주로 118",1,2,132.94,5,"170000"
"11680-532","포스코더샵","서울특별시 강남구 삼성로 417",1,2,139.54,3,"247000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",1,3,39.6,13,"87000"
"11680-20","미성","서울특별시 강남구 압구정로 113",1,3,74.4,13,"210000"
"11680-665","우림루미아트","서울특별시 강남구 언주로90길 6",1,3,24,8,"20200"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",1,3,59.76,7,"120000"
"11680-586","현대하이츠","서울특별시 강남구 역삼로34길 12",1,3,99.22,4,"77000"
"11680-3830","현대힐스테이트","서울특별시 강남구 삼성로111길 8",1,3,84.679,5,"224500"
NA,"디에이치아너힐즈","서울특별시 강남구 삼성로 11",1,4,94.29,12,"285000"
"11680-4394","래미안대치팰리스","서울특별시 강남구 삼성로51길 37",1,4,94.5,11,"340000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",1,4,49.86,6,"124500"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",1,4,39.53,9,"102000"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",1,4,33.18,7,"88000"
"11680-3673","신사아이빌","서울특별시 강남구 압구정로2길 15",1,4,90.35,4,"88000"
"11680-251","한스빌","서울특별시 강남구 도곡로3길 26",1,4,41.95,11,"39500"
"11680-3574","휴먼스타빌","서울특별시 강남구 도산대로 454",1,4,35.905,22,"60000"
"11680-4050","강남서해더블루","서울특별시 강남구 논현로63길 16",1,6,62.26,10,"85000"
"11680-4199","강남엘에이치","서울특별시 강남구 헌릉로571길 20",1,6,74.74,4,"106500"
"11680-505","개포자이","서울특별시 강남구 개포로109길 69",1,6,134.3,17,"203000"
"11680-237","동부센트레빌","서울특별시 강남구 선릉로 423",1,6,59.82,21,"148800"
"11680-665","우림루미아트","서울특별시 강남구 언주로90길 6",1,6,23.9,7,"20400"
"11680-338","우성사원","서울특별시 강남구 언주로29길 34",1,6,70.89,4,"130000"
"11680-365","타워팰리스","서울특별시 강남구 언주로30길 57",1,6,164.99,35,"310000"
"11680-274","트레벨","서울특별시 강남구 도곡로57길 9-7",1,6,33.48,4,"56000"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",1,6,84.93,14,"162000"
"11680-580","대치동우정에쉐르","서울특별시 강남구 삼성로85길 38",1,7,79.07,2,"84000"
"11680-3821","래미안신사","서울특별시 강남구 압구정로2길 20",1,7,84.89,3,"137000"
"11680-547","현대아인빌","서울특별시 강남구 압구정로22길 29",1,7,138.7,3,"164000"
"11680-528","선릉역대우아이빌","서울특별시 강남구 테헤란로64길 9",1,8,25.42,14,"24500"
"11680-3830","현대힐스테이트","서울특별시 강남구 삼성로111길 8",1,8,38.671,21,"124500"
"11680-4399","강남한신휴플러스","서울특별시 강남구 밤고개로27길 20",1,9,101.96,4,"130000"
"11680-283","개포우성","서울특별시 강남구 개포로 307",1,9,133.46,3,"220000"
"11680-271","갤러리하우스","서울특별시 강남구 도곡로33길 16",1,9,76.52,5,"74950"
"11680-601","동부센트레빌","서울특별시 강남구 선릉로 206",1,9,145.83,8,"375000"
"11680-665","우림루미아트","서울특별시 강남구 언주로90길 6",1,9,23.9,10,"20500"
"11680-365","타워팰리스","서울특별시 강남구 언주로30길 57",1,9,115.63,31,"232000"
"11680-365","타워팰리스","서울특별시 강남구 언주로30길 57",1,9,164.99,35,"310000"
"11680-3740","RudenHouse","서울특별시 강남구 강남대로162길 41-8",1,9,73.22,-1,"39000"
"11680-525","미켈란","서울특별시 강남구 봉은사로 516",1,10,83.69,16,"148000"
"11680-330","삼성","서울특별시 강남구 남부순환로379길 14",1,10,73.41,2,"148000"
"11680-177","서광","서울특별시 강남구 선릉로130길 19",1,10,59.67,4,"145000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",1,10,39.53,2,"103000"
"11680-98","청담대림이-편한세상","서울특별시 강남구 학동로77길 27",1,10,113.57,8,"195000"
"11680-3752","대치아이파크","서울특별시 강남구 선릉로 222",1,11,84.95,12,"247000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",1,11,60,14,"146000"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",1,11,74.74,14,"124000"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",1,11,49.96,6,"109000"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",1,11,59.4,20,"157500"
"11680-3643","역삼푸르지오","서울특별시 강남구 언주로 332",1,11,84.9097,2,"208000"
"11680-4004","청담자이","서울특별시 강남구 영동대로138길 12",1,11,49.618,24,"176000"
"11680-415","현대","서울특별시 강남구 압구정로29길 71",1,11,131.49,11,"299000"
"11680-578","개포주공","서울특별시 강남구 개포로 516",1,12,60.76,2,"171000"
"11680-3734","도곡아이파크","서울특별시 강남구 도곡로28길 8",1,13,130.259,10,"225000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",1,13,39.53,14,"111000"
"11680-3679","역삼I'PARK","서울특별시 강남구 역삼로 307",1,13,130.156,16,"270000"
"11680-338","우성사원","서울특별시 강남구 언주로29길 34",1,13,70.89,2,"146000"
"11680-340","우성캐릭터","서울특별시 강남구 언주로 118",1,13,132.94,25,"174000"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",1,13,84.93,8,"159500"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",1,13,59.76,9,"129500"
"11680-260","풍림지오빌","서울특별시 강남구 테헤란로5길 36",1,13,42.69,3,"45000"
"11680-225","현대","서울특별시 강남구 영동대로57길 28",1,13,84.27,4,"165000"
"11680-290","개포주공","서울특별시 강남구 개포로 516",1,14,60.13,14,"180000"
"11680-3752","대치아이파크","서울특별시 강남구 선릉로 222",1,14,84.93,9,"252500"
"11680-3559","선경","서울특별시 강남구 삼성로 151",1,14,127.75,12,"300000"
"11680-492","성영forU","서울특별시 강남구 선릉로107길 24",1,14,115.4,3,"125000"
"11680-218","은마","서울특별시 강남구 삼성로 212",1,14,84.43,13,"220000"
"11680-556","제이빌","서울특별시 강남구 학동로43길 30",1,14,75.12,2,"80000"
"11680-4364","청담스위트","서울특별시 강남구 학동로73길 13",1,14,14.224,3,"22000"
"11680-567","현대아이리스","서울특별시 강남구 도곡로6길 14",1,14,113.18,4,"95000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",1,15,34.44,9,"79500"
"11680-331","삼성래미안","서울특별시 강남구 남부순환로 2803",1,15,84.89,7,"192000"
"11680-241","세종빌라트","서울특별시 강남구 도곡로23길 31",1,15,122.45,1,"55000"
"11680-3736","청담범신칼릭스빌","서울특별시 강남구 도산대로89길 35",1,15,102.69,3,"143000"
"11680-361","현대향목빌라트","서울특별시 강남구 남부순환로379길 26",1,15,244.59,2,"195000"
"11680-20","미성","서울특별시 강남구 압구정로 113",1,16,118.63,5,"270000"
"11680-3582","삼성펠리스","서울특별시 강남구 테헤란로79길 31",1,16,174.1,6,"161000"
"11680-504","역삼동우정에쉐르","서울특별시 강남구 테헤란로4길 32",1,16,57.98,12,"65000"
"11680-470","타워팰리스","서울특별시 강남구 언주로30길 26",1,16,141.381,35,"270000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",1,17,39.6,3,"85000"
NA,"래미안블레스티지","서울특별시 강남구 선릉로 8",1,17,59.897,4,"188000"
"11680-3641","삼성동롯데캐슬킹덤","서울특별시 강남구 선릉로112길 53",1,17,170.8,12,"295000"
"11680-697","스위트캐슬레지던스","서울특별시 강남구 학동로7길 6",1,17,203.17,6,"240000"
"11680-141","청학","서울특별시 강남구 도산대로 232",1,17,85.12,5,"110000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",1,18,39.6,2,"84000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",1,18,91.96,3,"146000"
"11680-41","삼환","서울특별시 강남구 학동로77길 49",1,18,84.88,1,"144000"
"11680-41","삼환","서울특별시 강남구 학동로77길 49",1,18,114.97,5,"167000"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",1,18,39.51,10,"100000"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",1,18,84.52,11,"144000"
"11680-490","역삼예명","서울특별시 강남구 봉은사로34길 53",1,18,67.08,3,"58000"
"11680-4364","청담스위트","서울특별시 강남구 학동로73길 13",1,18,13.425,3,"21600"
